Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
26,ES 06-18,BreakOuts,2,Long,1,2694.25,2696.75,5/9/2018 3:28:52 PM,5/9/2018 4:05:31 PM,Entry,Exit,$125.00,($350.00),$0.00,$150.00,$162.50,$37.50,0,
27,ES 06-18,BreakOuts,2,Long,1,2706.25,2707.50,5/10/2018 9:36:48 AM,5/10/2018 9:42:59 AM,Entry,Exit,$62.50,($287.50),$0.00,$62.50,$87.50,$25.00,0,
28,ES 06-18,BreakOuts,2,Long,1,2708.25,2708.50,5/10/2018 9:54:13 AM,5/10/2018 9:54:23 AM,Entry,Exit,$12.50,($275.00),$0.00,$12.50,$12.50,$0.00,0,
29,ES 06-18,Sim101,2,Long,1,2708.75,2708.00,5/10/2018 9:57:09 AM,5/10/2018 9:57:13 AM,Entry,Close,($37.50),($312.50),$0.00,$37.50,$1125.00,$1162.50,0,
30,ES 06-18,Sim101,2,Long,1,2708.50,2708.25,5/10/2018 9:57:14 AM,5/10/2018 9:57:16 AM,Entry,Close,($12.50),($325.00),$0.00,$12.50,$1137.50,$1150.00,0,
31,ES 06-18,Sim101,2,Short,1,2706.50,2706.25,5/10/2018 10:00:27 AM,5/10/2018 10:00:40 AM,Entry,Exit,$12.50,($312.50),$0.00,$12.50,$25.00,$12.50,0,
32,ES 06-18,Sim101,2,Short,1,2705.25,2705.75,5/10/2018 10:02:45 AM,5/10/2018 10:04:19 AM,Entry,Exit,($25.00),($337.50),$0.00,$37.50,$12.50,$37.50,0,
33,ES 06-18,Sim101,2,Long,1,2707.25,2707.25,5/10/2018 10:10:08 AM,5/10/2018 10:11:01 AM,Entry,Exit,$0.00,($337.50),$0.00,$12.50,$25.00,$25.00,0,
34,ES 06-18,BreakOuts,2,Short,1,2704.50,2703.75,5/10/2018 10:16:26 AM,5/10/2018 10:16:47 AM,Entry,Exit,$37.50,($300.00),$0.00,$12.50,$50.00,$12.50,0,
35,ES 06-18,Sim101,2,Short,1,2705.25,2708.00,5/10/2018 10:23:28 AM,5/10/2018 10:26:34 AM,Entry,Stop1,($137.50),($437.50),$0.00,$137.50,$12.50,$150.00,0,
36,ES 06-18,Sim101,2,Short,1,2706.50,2707.75,5/10/2018 10:25:23 AM,5/10/2018 10:26:34 AM,Entry,Stop1,($62.50),($500.00),$0.00,$62.50,$0.00,$62.50,0,
37,ES 06-18,Sim101,2,Short,1,2708.75,2708.00,5/10/2018 10:27:26 AM,5/10/2018 10:28:22 AM,Entry,Exit,$37.50,($462.50),$0.00,$0.00,$62.50,$25.00,0,
38,ES 06-18,BreakOuts,2,Long,1,2709.25,2709.50,5/10/2018 10:29:47 AM,5/10/2018 10:30:55 AM,Entry,Exit,$12.50,($450.00),$0.00,$25.00,$25.00,$12.50,0,
39,ES 06-18,BreakOuts,2,Long,1,2710.25,2710.25,5/10/2018 10:35:34 AM,5/10/2018 10:35:44 AM,Entry,Exit,$0.00,($450.00),$0.00,$12.50,$12.50,$12.50,0,
40,ES 06-18,Sim101,2,Long,1,2727.25,2728.00,5/11/2018 10:03:59 AM,5/11/2018 10:05:10 AM,Entry,Exit,$37.50,($412.50),$0.00,$62.50,$200.00,$162.50,0,
41,ES 06-18,Sim101,2,Long,1,2709.00,2708.75,5/15/2018 11:12:27 AM,5/15/2018 11:12:28 AM,Entry,Close,($12.50),($425.00),$0.00,$12.50,$0.00,$12.50,0,
42,ES 06-18,Sim101,2,Short,1,2709.00,2709.00,5/15/2018 11:12:30 AM,5/15/2018 11:12:31 AM,Entry,Close,$0.00,($425.00),$0.00,$0.00,$0.00,$0.00,0,
43,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2708.00,2708.75,5/15/2018 11:14:52 AM,5/15/2018 11:15:19 AM,Entry,Close,($37.50),($462.50),$0.00,$37.50,$25.00,$62.50,0,
44,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2711.50,2711.00,5/15/2018 11:19:48 AM,5/15/2018 11:23:47 AM,Entry,Exit,($25.00),($487.50),$0.00,$87.50,$25.00,$50.00,0,
45,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2711.00,2709.00,5/15/2018 11:40:19 AM,5/15/2018 11:41:34 AM,Entry,Stop1,($100.00),($587.50),$0.00,$100.00,$12.50,$112.50,0,
46,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2708.50,2710.50,5/15/2018 11:41:40 AM,5/15/2018 11:42:53 AM,Entry,Stop1,($100.00),($687.50),$0.00,$100.00,$12.50,$112.50,0,
47,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2705.00,2704.50,5/15/2018 12:04:06 PM,5/15/2018 12:04:07 PM,Entry,Exit,$25.00,($662.50),$0.00,$0.00,$37.50,$12.50,0,
48,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2706.25,2704.75,5/15/2018 12:12:36 PM,5/15/2018 12:12:51 PM,Entry,Exit,($75.00),($737.50),$0.00,$87.50,$0.00,$75.00,0,
49,ES 06-18,Sim101,,Long,1,2713.00,2711.75,5/15/2018 12:57:20 PM,5/15/2018 12:57:52 PM,,Close,($62.50),($800.00),$0.00,$62.50,$62.50,$125.00,0,
50,ES 06-18,Sim101,2,Short,1,2724.25,2723.25,5/16/2018 1:32:23 PM,5/16/2018 1:45:25 PM,Entry,Exit,$50.00,($750.00),$0.00,$62.50,$75.00,$25.00,0,
51,ES 06-18,Sim101,2,Short,1,2723.50,2725.00,5/16/2018 1:48:27 PM,5/16/2018 1:58:16 PM,Entry,Exit,($75.00),($825.00),$0.00,$87.50,$25.00,$100.00,0,
52,ES 06-18,Sim101,2,Short,1,2725.00,2726.50,5/16/2018 2:01:50 PM,5/16/2018 2:03:18 PM,Entry,Close,($75.00),($900.00),$0.00,$187.50,$50.00,$125.00,0,
53,ES 06-18,Sim101,2,Short,1,2726.00,2724.25,5/16/2018 2:05:02 PM,5/16/2018 2:22:15 PM,Entry,Exit,$87.50,($812.50),$0.00,$25.00,$100.00,$12.50,0,
54,ES 06-18,Sim101,2,Long,1,2722.75,2723.50,5/16/2018 3:02:30 PM,5/16/2018 3:04:49 PM,Entry,Exit,$37.50,($775.00),$0.00,$0.00,$62.50,$25.00,0,
55,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,1.5,Long,1,2724.50,2724.50,5/17/2018 12:07:04 PM,5/17/2018 12:08:08 PM,Entry,Exit,$0.00,($775.00),$0.00,$12.50,$25.00,$25.00,0,
56,ES 06-18,BreakOuts,2,Long,1,2723.00,2722.00,5/17/2018 1:35:23 PM,5/17/2018 1:36:59 PM,Entry,Close,($50.00),($825.00),$0.00,$62.50,$0.00,$50.00,0,
57,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,1.5,Short,1,2720.75,2719.75,5/17/2018 1:51:55 PM,5/17/2018 1:54:13 PM,Entry,Exit,$50.00,($775.00),$0.00,$25.00,$50.00,$0.00,0,
58,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,1.5,Short,1,2714.00,2714.50,5/17/2018 2:00:47 PM,5/17/2018 2:00:52 PM,Entry,Close,($25.00),($800.00),$0.00,$25.00,$50.00,$75.00,0,
59,ES 06-18,BreakOuts,2,Short,1,2720.50,2721.25,5/17/2018 2:56:16 PM,5/17/2018 2:57:29 PM,Entry,Stop1,($37.50),($837.50),$0.00,$37.50,$12.50,$50.00,0,
60,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2721.50,2721.50,5/17/2018 2:57:42 PM,5/17/2018 3:00:47 PM,Entry,Exit,$0.00,($837.50),$0.00,$25.00,$37.50,$37.50,0,
61,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2720.25,2720.75,5/17/2018 3:11:32 PM,5/17/2018 3:13:01 PM,Entry,Exit,$25.00,($812.50),$0.00,$25.00,$37.50,$12.50,0,
62,ES 06-18,BreakOuts,2,Short,1,2737.75,2739.00,5/22/2018 9:41:46 AM,5/22/2018 9:44:13 AM,Entry,Close,($62.50),($875.00),$0.00,$75.00,$1000.00,$1062.50,0,
63,ES 06-18,BreakOuts,2,Short,1,2737.50,2738.75,5/22/2018 9:47:22 AM,5/22/2018 9:59:51 AM,Entry,Close,($62.50),($937.50),$0.00,$75.00,$987.50,$1050.00,0,
64,ES 06-18,BreakOuts,2,Long,1,2719.25,2717.25,5/23/2018 10:26:22 AM,5/23/2018 10:30:00 AM,Entry,Stop1,($100.00),($1037.50),$0.00,$100.00,$37.50,$137.50,0,
65,ES 06-18,BreakOuts,2,Long,1,2716.75,2714.75,5/23/2018 10:30:50 AM,5/23/2018 10:32:06 AM,Entry,Stop1,($100.00),($1137.50),$0.00,$100.00,$12.50,$112.50,0,
66,ES 06-18,BreakOuts,2,Long,1,2715.75,2714.50,5/23/2018 10:32:18 AM,5/23/2018 10:34:12 AM,Entry,Close,($62.50),($1200.00),$0.00,$62.50,$25.00,$87.50,0,
67,ES 06-18,BreakOuts,2,Short,1,2714.50,2715.00,5/23/2018 10:34:12 AM,5/23/2018 10:35:18 AM,Entry,Close,($25.00),($1225.00),$0.00,$25.00,$12.50,$37.50,0,
68,ES 06-18,BreakOuts,2,Short,1,2715.75,2714.75,5/23/2018 10:35:44 AM,5/23/2018 10:37:55 AM,Entry,Exit,$50.00,($1175.00),$0.00,$12.50,$62.50,$12.50,0,
69,ES 06-18,BreakOuts,2,Short,1,2714.00,2713.75,5/23/2018 10:38:18 AM,5/23/2018 10:41:48 AM,Entry,Close,$12.50,($1162.50),$0.00,$62.50,$50.00,$37.50,0,
70,ES 06-18,BreakOuts,2,Short,1,2711.75,2711.50,5/23/2018 10:45:52 AM,5/23/2018 10:51:00 AM,Entry,Exit,$12.50,($1150.00),$0.00,$62.50,$50.00,$37.50,0,
71,ES 06-18,BreakOuts,2,Long,1,2711.00,2709.75,5/23/2018 10:51:37 AM,5/23/2018 10:52:08 AM,Entry,Close,($62.50),($1212.50),$0.00,$75.00,$0.00,$62.50,0,
72,ES 06-18,BreakOuts,2,Short,1,2709.75,2710.25,5/23/2018 10:52:08 AM,5/23/2018 10:52:11 AM,Entry,Close,($25.00),($1237.50),$0.00,$25.00,$0.00,$25.00,0,
73,ES 06-18,BreakOuts,2,Short,1,2714.75,2715.50,5/23/2018 1:38:52 PM,5/23/2018 1:52:00 PM,Entry,Close,($37.50),($1275.00),$0.00,$362.50,$12.50,$50.00,0,
74,ES 06-18,BreakOuts,2,Short,1,2715.50,2715.50,5/23/2018 1:41:29 PM,5/23/2018 1:52:00 PM,Entry,Close,$0.00,($1275.00),$0.00,$325.00,$25.00,$25.00,0,
75,ES 06-18,BreakOuts,2,Short,1,2716.00,2715.50,5/23/2018 1:49:28 PM,5/23/2018 1:52:00 PM,Entry,Close,$25.00,($1250.00),$0.00,$300.00,$50.00,$25.00,0,
76,ES 06-18,BreakOuts,2,Long,1,2716.75,2722.50,5/23/2018 1:52:36 PM,5/23/2018 2:06:45 PM,Entry,Exit,$287.50,($962.50),$0.00,$87.50,$300.00,$12.50,0,
77,ES 06-18,BreakOuts,2,Long,1,2716.25,2722.50,5/23/2018 1:53:41 PM,5/23/2018 2:06:47 PM,Entry,Exit,$312.50,($650.00),$0.00,$62.50,$325.00,$12.50,0,
78,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2714.00,2715.00,5/24/2018 9:59:13 AM,5/24/2018 9:59:31 AM,Entry,Close,($50.00),($700.00),$0.00,$50.00,$12.50,$62.50,0,
79,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2716.00,2716.75,5/24/2018 10:00:52 AM,5/24/2018 10:01:42 AM,Entry,Exit,$37.50,($662.50),$0.00,$25.00,$50.00,$12.50,0,
80,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2719.50,2720.25,5/24/2018 10:05:06 AM,5/24/2018 10:05:22 AM,Entry,Exit,$37.50,($625.00),$0.00,$12.50,$50.00,$12.50,0,
81,ES 06-18,BreakOuts,2,Long,1,2713.25,2714.00,5/24/2018 10:45:09 AM,5/24/2018 10:46:08 AM,Entry,Exit,$37.50,($587.50),$0.00,$25.00,$37.50,$0.00,0,
82,ES 06-18,BreakOuts,2,Short,1,2712.00,2711.75,5/24/2018 10:47:09 AM,5/24/2018 10:47:32 AM,Entry,Exit,$12.50,($575.00),$0.00,$0.00,$25.00,$12.50,0,
83,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2709.25,2708.50,5/24/2018 10:55:18 AM,5/24/2018 10:55:24 AM,Entry,Exit,$37.50,($537.50),$0.00,$12.50,$62.50,$25.00,0,
84,ES 06-18,BreakOuts,2,Long,1,2707.50,2708.25,5/24/2018 10:59:46 AM,5/24/2018 11:01:23 AM,Entry,Exit,$37.50,($500.00),$0.00,$87.50,$50.00,$12.50,0,
85,ES 06-18,BreakOuts,2,Long,1,2709.00,2709.25,5/24/2018 11:01:36 AM,5/24/2018 11:02:03 AM,Entry,Exit,$12.50,($487.50),$0.00,$25.00,$12.50,$0.00,0,
86,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Short,1,2721.25,2720.75,5/24/2018 12:54:20 PM,5/24/2018 12:54:33 PM,Entry,Exit,$25.00,($462.50),$0.00,$12.50,$25.00,$0.00,0,
87,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2723.50,2723.50,5/24/2018 12:58:19 PM,5/24/2018 12:59:07 PM,Entry,Exit,$0.00,($462.50),$0.00,$25.00,$12.50,$12.50,0,
88,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2725.25,2726.00,5/24/2018 1:01:35 PM,5/24/2018 1:02:11 PM,Entry,Exit,$37.50,($425.00),$0.00,$25.00,$50.00,$12.50,0,
89,ES 06-18,BreakOuts,2,Long,1,2727.00,2727.25,5/24/2018 1:10:39 PM,5/24/2018 1:14:20 PM,Entry,Exit,$12.50,($412.50),$0.00,$37.50,$37.50,$25.00,0,
90,ES 06-18,BreakOuts,2,Long,1,2725.25,2725.25,5/30/2018 1:29:39 PM,5/30/2018 1:31:16 PM,Entry,Exit,$0.00,($412.50),$0.00,$12.50,$12.50,$12.50,0,
91,ES 06-18,BreakOuts,2,Long,1,2726.25,2726.50,5/30/2018 1:39:13 PM,5/30/2018 1:40:51 PM,Entry,Exit,$12.50,($400.00),$0.00,$12.50,$25.00,$12.50,0,
92,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2728.00,2726.00,5/30/2018 1:51:25 PM,5/30/2018 1:54:19 PM,Entry,Stop1,($100.00),($500.00),$0.00,$100.00,$0.00,$100.00,0,
93,ES 06-18,Robert Randolph & Haeun Kang!PhillipNTB!7ME6640,2,Long,1,2727.25,2727.25,5/30/2018 2:07:15 PM,5/30/2018 2:12:10 PM,Entry,Exit,$0.00,($500.00),$0.00,$25.00,$25.00,$25.00,0,
